enemyId,name,battlerName,tier,oldPower,newPower,rank,familyOrder
11,"小精靈","InfinityTower/infty-enermy-7",0,2200,12000,0,0
12,"小精靈異化","InfinityTower/infty-enermy-7",1,2203,12057,1,0
13,"小精靈異化·極","InfinityTower/infty-enermy-7",2,2206,12115,2,0
14,"風精靈","InfinityTower/infty-enermy-1",0,2225,12172,3,1
15,"風精靈異化","InfinityTower/infty-enermy-1",1,2228,12229,4,1
16,"風精靈異化·極","InfinityTower/infty-enermy-1",2,2231,12287,5,1
17,"土精靈","InfinityTower/infty-enermy-2",0,2234,12344,6,2
18,"土精靈異化","InfinityTower/infty-enermy-2",1,2237,12401,7,2
19,"土精靈異化·極","InfinityTower/infty-enermy-2",2,2240,12459,8,2
20,"火精靈","InfinityTower/infty-enermy-9",0,2259,12516,9,3
21,"火精靈異化","InfinityTower/infty-enermy-9",1,2262,12573,10,3
22,"火精靈異化·極","InfinityTower/infty-enermy-9",2,2265,12631,11,3
23,"虛無精靈","InfinityTower/infty-enermy-23",0,2268,12688,12,4
24,"虛無精靈異化","InfinityTower/infty-enermy-23",1,2271,12745,13,4
25,"虛無精靈異化·極","InfinityTower/infty-enermy-23",2,2274,12802,14,4
26,"","",0,2293,12860,15,5
27,"百目史萊姆","InfinityTower/infty-enermy-5",0,2296,12917,16,6
28,"百目史萊姆異化","InfinityTower/infty-enermy-5",1,2298,12974,17,6
29,"百目史萊姆異化·極","InfinityTower/infty-enermy-5",2,2302,13032,18,6
30,"史萊水姆","InfinityTower/infty-enermy-29",0,2305,13089,19,7
31,"史萊水姆異化","InfinityTower/infty-enermy-29",1,2308,13146,20,7
32,"史萊水姆異化·極","InfinityTower/infty-enermy-29",2,2326,13204,21,7
33,"多蜜花","InfinityTower/infty-enermy-14",0,2330,13261,22,8
34,"多蜜花異化","InfinityTower/infty-enermy-14",1,2333,13318,23,8
35,"多蜜花異化·極","InfinityTower/infty-enermy-14",2,2336,13376,24,8
36,"十足水母","InfinityTower/infty-enermy-20",0,2338,13433,25,9
37,"十足水母異化","InfinityTower/infty-enermy-20",1,2341,13490,26,9
38,"十足水母異化·極","InfinityTower/infty-enermy-20",2,2361,13548,27,9
39,"","",0,2363,13605,28,10
40,"冰原夜蝠","InfinityTower/infty-enermy-6",0,2366,13662,29,11
41,"冰原夜蝠異化","InfinityTower/infty-enermy-6",1,2369,13720,30,11
42,"冰原夜蝠異化·極","InfinityTower/infty-enermy-6",2,2373,13777,31,11
43,"冰原霜狼","InfinityTower/infty-enermy-4",0,2375,13834,32,12
44,"冰原霜狼異化","InfinityTower/infty-enermy-4",1,2394,13892,33,12
45,"冰原霜狼異化·極","InfinityTower/infty-enermy-4",2,2397,13949,34,12
46,"劇毒弧蜂","InfinityTower/infty-enermy-11",0,2401,14006,35,13
47,"劇毒弧蜂異化","InfinityTower/infty-enermy-11",1,2403,14063,36,13
48,"劇毒弧蜂異化·極","InfinityTower/infty-enermy-11",2,2406,14121,37,13
49,"劇毒紫蠍","InfinityTower/infty-enermy-19",0,2425,14178,38,14
50,"劇毒紫蠍異化","InfinityTower/infty-enermy-19",1,2428,14235,39,14
51,"劇毒紫蠍異化·極","InfinityTower/infty-enermy-19",2,2431,14293,40,14
52,"紅眼藍鯊","InfinityTower/infty-enermy-15",0,2434,14350,41,15
53,"紅眼藍鯊異化","InfinityTower/infty-enermy-15",1,2437,14407,42,15
54,"紅眼藍鯊異化·極","InfinityTower/infty-enermy-15",2,2440,14465,43,15
55,"刺毛巨鼠","InfinityTower/infty-enermy-16",0,2459,14522,44,16
56,"刺毛巨鼠異化","InfinityTower/infty-enermy-16",1,2462,14579,45,16
57,"刺毛巨鼠異化·極","InfinityTower/infty-enermy-16",2,2465,14637,46,16
58,"毒角蛇","InfinityTower/infty-enermy-17",0,2468,14694,47,17
59,"毒角蛇異化","InfinityTower/infty-enermy-17",1,2471,14751,48,17
60,"毒角蛇異化·極","InfinityTower/infty-enermy-17",2,2474,14809,49,17
61,"白加尾雞","InfinityTower/infty-enermy-18",0,2493,14866,50,18
62,"白加尾雞異化","InfinityTower/infty-enermy-18",1,2496,14923,51,18
63,"白加尾雞異化·極","InfinityTower/infty-enermy-18",2,2499,14981,52,18
64,"奶茶珍蛛","InfinityTower/infty-enermy-24",0,2502,15038,53,19
65,"奶茶珍蛛異化","InfinityTower/infty-enermy-24",1,2505,15095,54,19
66,"奶茶珍蛛異化·極","InfinityTower/infty-enermy-24",2,2508,15153,55,19
67,"骷髏歌姬","InfinityTower/infty-enermy-8",0,2527,15210,56,20
68,"骷髏歌姬異化","InfinityTower/infty-enermy-8",1,2530,15267,57,20
69,"骷髏歌姬異化·極","InfinityTower/infty-enermy-8",2,2533,15324,58,20
70,"無理數劍士","InfinityTower/infty-enermy-10",0,2536,15382,59,21
71,"無理數劍士異化","InfinityTower/infty-enermy-10",1,2539,15439,60,21
72,"無理數劍士異化·極","InfinityTower/infty-enermy-10",2,2558,15496,61,21
73,"幾何上忍","InfinityTower/infty-enermy-12",0,2561,15554,62,22
74,"幾何上忍異化","InfinityTower/infty-enermy-12",1,2564,15611,63,22
75,"幾何上忍異化·極","InfinityTower/infty-enermy-12",2,2567,15668,64,22
76,"幾何中忍","InfinityTower/infty-enermy-13",0,2570,15726,65,23
77,"幾何中忍異化","InfinityTower/infty-enermy-13",1,2573,15783,66,23
78,"幾何中忍異化·極","InfinityTower/infty-enermy-13",2,2592,15840,67,23
79,"巨斧重步兵","InfinityTower/infty-enermy-25",0,2595,15898,68,24
80,"巨斧重步兵異化","InfinityTower/infty-enermy-25",1,2597,15955,69,24
81,"巨斧重步兵異化·極","InfinityTower/infty-enermy-25",2,2601,16012,70,24
82,"圓周炎術士","InfinityTower/infty-enermy-30",0,2604,16070,71,25
83,"圓周炎術士異化","InfinityTower/infty-enermy-30",1,2607,16127,72,25
84,"圓周炎術士異化·極","InfinityTower/infty-enermy-30",2,2625,16184,73,25
85,"鐵索坐標俠","InfinityTower/infty-enermy-31",0,2628,16242,74,26
86,"鐵索坐標俠異化","InfinityTower/infty-enermy-31",1,2632,16299,75,26
87,"鐵索坐標俠異化·極","InfinityTower/infty-enermy-31",2,2635,16356,76,26
88,"玩具係有生命㗎","InfinityTower/infty-enermy-21",0,2637,16414,77,27
89,"玩具係有生命㗎異化","InfinityTower/infty-enermy-21",1,2640,16471,78,27
90,"玩具係有生命㗎異化·極","InfinityTower/infty-enermy-21",2,2660,16528,79,27
91,"地獄三頭犬","InfinityTower/infty-enermy-22",0,2663,16585,80,28
92,"地獄三頭犬異化","InfinityTower/infty-enermy-22",1,2665,16643,81,28
93,"地獄三頭犬異化·極","InfinityTower/infty-enermy-22",2,2668,16700,82,28
94,"貪婪寶箱怪 ","InfinityTower/infty-enermy-28",0,2672,16757,83,29
95,"貪婪寶箱怪 異化","InfinityTower/infty-enermy-28",1,2674,16815,84,29
96,"貪婪寶箱怪 異化·極","InfinityTower/infty-enermy-28",2,2693,16872,85,29
97,"亞米魔女","InfinityTower/infty-enermy-26",0,2696,16929,86,30
98,"亞米魔女異化","InfinityTower/infty-enermy-26",1,2699,16987,87,30
99,"亞米魔女異化·極","InfinityTower/infty-enermy-26",2,2702,17044,88,30
100,"巨劍戰姬","InfinityTower/infty-enermy-27",0,2705,17101,89,31
101,"巨劍戰姬異化","InfinityTower/infty-enermy-27",1,2708,17159,90,31
102,"巨劍戰姬異化·極","InfinityTower/infty-enermy-27",2,2727,17216,91,31
103,"伯努利祭司","InfinityTower/infty-enermy-35",0,2730,17273,92,32
104,"伯努利祭司異化","InfinityTower/infty-enermy-35",1,2733,17331,93,32
105,"伯努利祭司異化·極","InfinityTower/infty-enermy-35",2,2736,17388,94,32
106,"魔·泰勒斯","InfinityTower/infty-enermy-32",0,2739,17445,95,33
107,"魔·泰勒斯異化","InfinityTower/infty-enermy-32",1,2758,17503,96,33
108,"魔·泰勒斯異化·極","InfinityTower/infty-enermy-32",2,2761,17560,97,33
109,"風險女神","InfinityTower/infty-enermy-33",0,2764,17617,98,34
110,"風險女神異化","InfinityTower/infty-enermy-33",1,2767,17675,99,34
111,"風險女神異化·極","InfinityTower/infty-enermy-33",2,2770,17732,100,34
112,"銀鎧護衛","InfinityTower/infty-enermy-34",0,2773,17789,101,35
113,"銀鎧護衛異化","InfinityTower/infty-enermy-34",1,2792,17846,102,35
114,"銀鎧護衛異化·極","InfinityTower/infty-enermy-34",2,2795,17904,103,35
115,"緋紅劍客","InfinityTower/infty-enermy-36",0,2798,17961,104,36
116,"緋紅劍客異化","InfinityTower/infty-enermy-36",1,2801,18018,105,36
117,"緋紅劍客異化·極","InfinityTower/infty-enermy-36",2,2804,18076,106,36
118,"西洋劍女官","InfinityTower/infty-enermy-37",0,2807,18133,107,37
119,"西洋劍女官異化","InfinityTower/infty-enermy-37",1,2826,18190,108,37
120,"西洋劍女官異化·極","InfinityTower/infty-enermy-37",2,2829,18248,109,37
121,"星光仙子","InfinityTower/infty-enermy-38",0,2832,18305,110,38
122,"星光仙子異化","InfinityTower/infty-enermy-38",1,2835,18362,111,38
123,"星光仙子異化·極","InfinityTower/infty-enermy-38",2,2838,18420,112,38
124,"巨豚礦工","InfinityTower/infty-enermy-39",0,2841,18477,113,39
125,"巨豚礦工異化","InfinityTower/infty-enermy-39",1,2860,18534,114,39
126,"巨豚礦工異化·極","InfinityTower/infty-enermy-39",2,2863,18592,115,39
127,"浮空神兵","InfinityTower/infty-enermy-40",0,2866,18649,116,40
128,"浮空神兵異化","InfinityTower/infty-enermy-40",1,2869,18706,117,40
129,"浮空神兵異化·極","InfinityTower/infty-enermy-40",2,2872,18764,118,40
130,"流星錘傭兵","InfinityTower/infty-enermy-41",0,2875,18821,119,41
131,"流星錘傭兵異化","InfinityTower/infty-enermy-41",1,2894,18878,120,41
132,"流星錘傭兵異化·極","InfinityTower/infty-enermy-41",2,2897,18936,121,41
133,"聖殿騎士","InfinityTower/infty-enermy-42",0,2899,18993,122,42
134,"聖殿騎士異化","InfinityTower/infty-enermy-42",1,2903,19050,123,42
135,"聖殿騎士異化·極","InfinityTower/infty-enermy-42",2,2906,19107,124,42
136,"荒野遊俠","InfinityTower/infty-enermy-43",0,2908,19165,125,43
137,"荒野遊俠異化","InfinityTower/infty-enermy-43",1,2927,19222,126,43
138,"荒野遊俠異化·極","InfinityTower/infty-enermy-43",2,2931,19279,127,43
139,"蒼藍劍士","InfinityTower/infty-enermy-44",0,2934,19337,128,44
140,"蒼藍劍士異化","InfinityTower/infty-enermy-44",1,2936,19394,129,44
141,"蒼藍劍士異化·極","InfinityTower/infty-enermy-44",2,2939,19451,130,44
142,"嗜血伯爵","InfinityTower/infty-enermy-45",0,2959,19509,131,45
143,"嗜血伯爵異化","InfinityTower/infty-enermy-45",1,2962,19566,132,45
