floor,troopId,name
1,401,無限之塔 第1層
2,402,無限之塔 第2層
3,403,無限之塔 第3層
4,404,無限之塔 第4層
5,405,無限之塔 第5層
6,406,無限之塔 第6層
7,407,無限之塔 第7層
8,408,無限之塔 第8層
9,409,無限之塔 第9層
10,410,無限之塔 第10層
11,411,無限之塔 第11層
12,412,無限之塔 第12層
13,413,無限之塔 第13層
14,414,無限之塔 第14層
15,415,無限之塔 第15層
16,416,無限之塔 第16層
17,417,無限之塔 第17層
18,418,無限之塔 第18層
19,419,無限之塔 第19層
20,420,無限之塔 第20層
21,421,無限之塔 第21層
22,422,無限之塔 第22層
23,423,無限之塔 第23層
24,424,無限之塔 第24層
25,425,無限之塔 第25層
26,426,無限之塔 第26層
27,427,無限之塔 第27層
28,428,無限之塔 第28層
29,429,無限之塔 第29層
30,430,無限之塔 第30層
31,431,無限之塔 第31層
32,432,無限之塔 第32層
33,433,無限之塔 第33層
34,434,無限之塔 第34層
35,435,無限之塔 第35層
36,436,無限之塔 第36層
37,437,無限之塔 第37層
38,438,無限之塔 第38層
39,439,無限之塔 第39層
40,440,無限之塔 第40層
41,441,無限之塔 第41層
42,442,無限之塔 第42層
43,443,無限之塔 第43層
44,444,無限之塔 第44層
45,445,無限之塔 第45層
46,446,無限之塔 第46層
47,447,無限之塔 第47層
48,448,無限之塔 第48層
49,449,無限之塔 第49層
50,450,無限之塔 第50層
51,451,無限之塔 第51層
52,452,無限之塔 第52層
53,453,無限之塔 第53層
54,454,無限之塔 第54層
55,455,無限之塔 第55層
56,456,無限之塔 第56層
57,457,無限之塔 第57層
58,458,無限之塔 第58層
59,459,無限之塔 第59層
60,460,無限之塔 第60層
61,461,無限之塔 第61層
62,462,無限之塔 第62層
63,463,無限之塔 第63層
64,464,無限之塔 第64層
65,465,無限之塔 第65層
66,466,無限之塔 第66層
67,467,無限之塔 第67層
68,468,無限之塔 第68層
69,469,無限之塔 第69層
70,470,無限之塔 第70層
71,471,無限之塔 第71層
72,472,無限之塔 第72層
73,473,無限之塔 第73層
74,474,無限之塔 第74層
75,475,無限之塔 第75層
76,476,無限之塔 第76層
77,477,無限之塔 第77層
78,478,無限之塔 第78層
79,479,無限之塔 第79層
80,480,無限之塔 第80層
81,481,無限之塔 第81層
82,482,無限之塔 第82層
83,483,無限之塔 第83層
84,484,無限之塔 第84層
85,485,無限之塔 第85層
86,486,無限之塔 第86層
87,487,無限之塔 第87層
88,488,無限之塔 第88層
89,489,無限之塔 第89層
90,490,無限之塔 第90層
91,491,無限之塔 第91層
92,492,無限之塔 第92層
93,493,無限之塔 第93層
94,494,無限之塔 第94層
95,495,無限之塔 第95層
96,496,無限之塔 第96層
97,497,無限之塔 第97層
98,498,無限之塔 第98層
99,499,無限之塔 第99層
100,500,無限之塔 第100層
